Ω¯»ÎFind≤È’“°∂°∂°∂
10	13	222
14	12	222
9	13	222
14	11	222
7	12	222
13	9	222
12	6	222
10	5	222
10	4	222
11	12	222
12	8	222
9	12	216
8	12	216
8	11	216
11	7	216
13	11	216
12	12	216
11	11	216
7	11	216
12	9	216
6	10	216
11	6	216
9	4	216
11	8	216
5	2	212
2	3	212
12	11	210
12	10	210
11	10	210
7	10	210
7	9	210
11	9	210
6	9	210
10	8	210
5	8	210
8	9	210
10	6	210
4	7	210
8	4	210
4	2	206
3	2	206
10	9	204
6	8	204
9	9	204
9	8	204
5	7	204
6	7	204
5	6	204
8	8	204
9	6	204
7	7	204
8	5	204
6	6	204
7	4	204
4	6	204
3	5	204
8	7	198
8	6	198
7	6	198
7	5	198
6	5	198
6	4	198
4	5	198
5	3	198
3	4	198
5	4	192
4	4	192
4	3	192
3	3	0
10	13	222
14	12	222
9	13	222
14	11	222
7	12	222
13	9	222
12	6	222
10	5	222
10	4	222
11	12	222
12	8	222
9	12	216
8	12	216
8	11	216
11	7	216
13	11	216
12	12	216
11	11	216
7	11	216
12	9	216
6	10	216
11	6	216
9	4	216
11	8	216
5	2	212
2	3	212
12	11	210
12	10	210
11	10	210
7	10	210
7	9	210
11	9	210
6	9	210
10	8	210
5	8	210
8	9	210
10	6	210
4	7	210
8	4	210
4	2	206
3	2	206
10	9	204
6	8	204
9	9	204
9	8	204
5	7	204
6	7	204
5	6	204
8	8	204
9	6	204
7	7	204
8	5	204
6	6	204
7	4	204
4	6	204
3	5	204
8	7	198
8	6	198
7	6	198
7	5	198
6	5	198
6	4	198
4	5	198
5	3	198
3	4	198
5	4	192
4	4	192
4	3	192
3	3	0
10	13	222
14	12	222
9	13	222
14	11	222
7	12	222
13	9	222
12	6	222
10	5	222
10	4	222
11	12	222
12	8	222
9	12	216
8	12	216
8	11	216
11	7	216
13	11	216
12	12	216
11	11	216
7	11	216
12	9	216
6	10	216
11	6	216
9	4	216
11	8	216
5	2	212
2	3	212
12	11	210
12	10	210
11	10	210
7	10	210
7	9	210
11	9	210
6	9	210
10	8	210
5	8	210
8	9	210
10	6	210
4	7	210
8	4	210
4	2	206
3	2	206
10	9	204
6	8	204
9	9	204
9	8	204
5	7	204
6	7	204
5	6	204
8	8	204
9	6	204
7	7	204
8	5	204
6	6	204
7	4	204
4	6	204
3	5	204
8	7	198
8	6	198
7	6	198
7	5	198
6	5	198
6	4	198
4	5	198
5	3	198
3	4	198
5	4	192
4	4	192
4	3	192
3	3	0
10	13	222
14	12	222
9	13	222
14	11	222
7	12	222
13	9	222
12	6	222
10	5	222
10	4	222
11	12	222
12	8	222
9	12	216
8	12	216
8	11	216
11	7	216
13	11	216
12	12	216
11	11	216
7	11	216
12	9	216
6	10	216
11	6	216
9	4	216
11	8	216
5	2	212
2	3	212
12	11	210
12	10	210
11	10	210
7	10	210
7	9	210
11	9	210
6	9	210
10	8	210
5	8	210
8	9	210
10	6	210
4	7	210
8	4	210
4	2	206
3	2	206
10	9	204
6	8	204
9	9	204
9	8	204
5	7	204
6	7	204
5	6	204
8	8	204
9	6	204
7	7	204
8	5	204
6	6	204
7	4	204
4	6	204
3	5	204
8	7	198
8	6	198
7	6	198
7	5	198
6	5	198
6	4	198
4	5	198
5	3	198
3	4	198
5	4	192
4	4	192
4	3	192
3	3	0
10	13	222
14	12	222
9	13	222
14	11	222
7	12	222
13	9	222
12	6	222
10	5	222
10	4	222
11	12	222
12	8	222
9	12	216
8	12	216
8	11	216
11	7	216
13	11	216
12	12	216
11	11	216
7	11	216
12	9	216
6	10	216
11	6	216
9	4	216
11	8	216
5	2	212
2	3	212
12	11	210
12	10	210
11	10	210
7	10	210
7	9	210
11	9	210
6	9	210
10	8	210
5	8	210
8	9	210
10	6	210
4	7	210
8	4	210
4	2	206
3	2	206
10	9	204
6	8	204
9	9	204
9	8	204
5	7	204
6	7	204
5	6	204
8	8	204
9	6	204
7	7	204
8	5	204
6	6	204
7	4	204
4	6	204
3	5	204
8	7	198
8	6	198
7	6	198
7	5	198
6	5	198
6	4	198
4	5	198
5	3	198
3	4	198
5	4	192
4	4	192
4	3	192
3	3	0
10	13	222
14	12	222
9	13	222
14	11	222
7	12	222
13	9	222
12	6	222
10	5	222
10	4	222
11	12	222
12	8	222
9	12	216
8	12	216
8	11	216
11	7	216
13	11	216
12	12	216
11	11	216
7	11	216
12	9	216
6	10	216
11	6	216
9	4	216
11	8	216
5	2	212
2	3	212
12	11	210
12	10	210
11	10	210
7	10	210
7	9	210
11	9	210
6	9	210
10	8	210
5	8	210
8	9	210
10	6	210
4	7	210
8	4	210
4	2	206
3	2	206
10	9	204
6	8	204
9	9	204
9	8	204
5	7	204
6	7	204
5	6	204
8	8	204
9	6	204
7	7	204
8	5	204
6	6	204
7	4	204
